data_file,algorithm,sample_size,train_test,subject,accuracy,precision,recall,order
amount_1,c5.0,20,training,1-73,0.965,0.9469696969696969,0.99,Random
amount_1,c5.0,20,training,1-74,0.9714285714285714,0.9538888888888889,0.9888888888888889,Random
amount_1,c5.0,25,testing,1-10,0.89,0.9233333333333333,0.8766666666666666,Random
amount_1,c5.0,25,testing,1-11,0.94,0.9763888888888889,0.9523809523809524,Random
amount_1,c5.0,25,testing,1-13,0.92,0.9714285714285714,0.9263888888888889,Random
amount_1,c5.0,25,testing,1-14,0.97,0.9746031746031746,0.9888888888888889,Random
amount_1,c5.0,25,testing,1-15,0.8400000000000001,0.835,0.8516666666666666,Random
amount_1,c5.0,25,testing,1-16,0.93,0.9483245149911816,0.9607142857142857,Random
amount_1,c5.0,25,testing,1-18,0.86,0.9061904761904761,0.8857142857142856,Random
amount_1,c5.0,25,testing,1-19,0.88,0.9214285714285714,0.8642857142857142,Random
amount_1,c5.0,25,testing,1-20,0.89,0.9194444444444444,0.9273809523809523,Random
amount_1,c5.0,25,testing,1-21,0.68,0.7380555555555556,0.8799603174603174,Random
amount_1,c5.0,25,testing,1-22,0.94,0.9708333333333333,0.946031746031746,Random
amount_1,c5.0,25,testing,1-23,0.92,0.9357142857142857,0.956547619047619,Random
amount_1,c5.0,25,testing,1-24,0.9,0.9675,0.8728571428571428,Random
amount_1,c5.0,25,testing,1-25,0.86,0.969047619047619,0.8047619047619046,Random
amount_1,c5.0,25,testing,1-26,0.93,0.9589285714285714,0.93,Random
amount_1,c5.0,25,testing,1-29,0.91,0.8625,1,Random
amount_1,c5.0,25,testing,1-30,0.89,0.9273809523809524,0.9398809523809524,Random
amount_1,c5.0,25,testing,1-31,0.9,0.9409171075837742,0.9138095238095238,Random
amount_1,c5.0,25,testing,1-32,0.84,0.7785714285714285,0.9633333333333333,Random
amount_1,c5.0,25,testing,1-37,0.96,0.9523809523809523,0.9857142857142857,Random
amount_1,c5.0,25,testing,1-38,0.95,0.9607142857142857,0.9708333333333333,Random
amount_1,c5.0,25,testing,1-40,0.88,0.95,0.8978571428571428,Random
amount_1,c5.0,25,testing,1-41,1,1,1,Random
amount_1,c5.0,25,testing,1-42,0.9,0.9178571428571428,0.9066666666666667,Random
amount_1,c5.0,25,testing,1-44,0.9400000000000001,0.9589285714285714,0.9589285714285714,Random
amount_1,c5.0,25,testing,1-45,0.85,0.944047619047619,0.844047619047619,Random
amount_1,c5.0,25,testing,1-46,0.91,0.867142857142857,0.98,Random
amount_1,c5.0,25,testing,1-47,0.9,0.9509920634920634,0.9178571428571428,Random
amount_1,c5.0,25,testing,1-48,0.93,0.9666666666666666,0.9188888888888889,Random
amount_1,c5.0,25,testing,1-50,0.84,0.871984126984127,0.9339285714285714,Random
amount_1,c5.0,25,testing,1-51,0.9400000000000001,0.9833333333333333,0.933531746031746,Random
amount_1,c5.0,25,testing,1-52,0.89,0.9154761904761904,0.918095238095238,Random
amount_1,c5.0,25,testing,1-53,1,1,1,Random
amount_1,c5.0,25,testing,1-55,0.98,1,0.96,Random
amount_1,c5.0,25,testing,1-56,0.87,0.8962962962962964,0.9402777777777778,Random
amount_1,c5.0,25,testing,1-58,0.92,0.9788888888888889,0.9242063492063493,Random
amount_1,c5.0,25,testing,1-59,0.9400000000000001,0.9652777777777778,0.9607142857142857,Random
amount_1,c5.0,25,testing,1-61,0.81,0.8683333333333333,0.7716666666666666,Random
amount_1,c5.0,25,testing,1-62,0.81,0.8694841269841269,0.8561904761904761,Random
amount_1,c5.0,25,testing,1-64,0.98,0.969047619047619,1,Random
amount_1,c5.0,25,testing,1-65,0.85,0.9403174603174603,0.8404761904761903,Random
amount_1,c5.0,25,testing,1-66,0.97,0.9833333333333333,0.9633333333333333,Random
amount_1,c5.0,25,testing,1-67,0.97,0.93,1,Random
amount_1,c5.0,25,testing,1-68,0.95,0.9583333333333333,0.9380952380952381,Random
amount_1,c5.0,25,testing,1-69,0.94,0.96,0.9357142857142857,Random
amount_1,c5.0,25,testing,1-70,0.81,0.8358333333333333,0.7688095238095238,Random
amount_1,c5.0,25,testing,1-71,0.93,0.9833333333333333,0.8823809523809524,Random
amount_1,c5.0,25,testing,1-72,0.89,0.879047619047619,0.9233333333333333,Random
amount_1,c5.0,25,testing,1-73,0.9,0.8816666666666666,0.91,Random
amount_1,c5.0,25,testing,1-74,0.79,0.7664021164021164,0.7464285714285714,Random
amount_1,c5.0,25,training,1-10,0.980769230769231,1,0.9666666666666666,Random
amount_1,c5.0,25,training,1-11,0.9923076923076924,0.9904761904761904,1,Random
amount_1,c5.0,25,training,1-13,0.9961538461538462,0.9944444444444445,1,Random
amount_1,c5.0,25,training,1-14,0.988,1,0.9833333333333333,Random
amount_1,c5.0,25,training,1-15,0.9961538461538462,0.9933333333333333,1,Random
amount_1,c5.0,25,training,1-16,0.9769230769230771,0.9861471861471862,0.9857142857142855,Random
amount_1,c5.0,25,training,1-18,0.9461538461538465,0.98125,0.9266666666666666,Random
amount_1,c5.0,25,training,1-19,0.980769230769231,1,0.9666666666666666,Random
amount_1,c5.0,25,training,1-20,0.9346153846153846,0.9455065359477124,0.95,Random
amount_1,c5.0,25,training,1-21,0.8538461538461538,0.8523926073926072,0.99,Random
amount_1,c5.0,25,training,1-22,0.992,0.9941176470588236,0.99375,Random
amount_1,c5.0,25,training,1-23,0.996,1,0.9941176470588236,Random
amount_1,c5.0,25,training,1-24,0.992,1,0.9875,Random
amount_1,c5.0,25,training,1-25,0.9884615384615385,1,0.9785714285714286,Random
amount_1,c5.0,25,training,1-26,0.9692307692307693,0.99375,0.95625,Random
amount_1,c5.0,25,training,1-29,0.9846153846153847,0.9795238095238095,0.9928571428571429,Random
amount_1,c5.0,25,training,1-30,0.980769230769231,0.995,0.98,Random
amount_1,c5.0,25,training,1-31,0.984,0.9894736842105263,0.9882352941176471,Random
amount_1,c5.0,25,training,1-32,0.9730769230769233,0.9661904761904762,0.9857142857142858,Random
amount_1,c5.0,25,training,1-37,1,1,1,Random
amount_1,c5.0,25,training,1-38,0.9769230769230771,0.9742105263157896,0.9944444444444444,Random
amount_1,c5.0,25,training,1-40,0.9692307692307695,0.9763852813852812,0.985,Random
amount_1,c5.0,25,training,1-41,1,1,1,Random
amount_1,c5.0,25,training,1-42,0.9769230769230771,0.9723809523809526,0.9846153846153846,Random
amount_1,c5.0,25,training,1-44,0.980769230769231,0.9804761904761905,0.9947368421052631,Random
amount_1,c5.0,25,training,1-45,0.98,1,0.96875,Random
amount_1,c5.0,25,training,1-46,0.9884615384615385,0.9819852941176471,1,Random
amount_1,c5.0,25,training,1-47,0.96,0.970952380952381,0.9789473684210527,Random
amount_1,c5.0,25,training,1-48,0.984,1,0.975,Random
amount_1,c5.0,25,training,1-50,0.964,0.9702130325814536,0.9842105263157896,Random
amount_1,c5.0,25,training,1-51,0.9769230769230771,1,0.9625,Random
amount_1,c5.0,25,training,1-52,0.96,0.9646886446886445,0.9642857142857144,Random
amount_1,c5.0,25,training,1-53,1,1,1,Random
amount_1,c5.0,25,training,1-55,0.956,0.9606410256410256,0.9666666666666666,Random
amount_1,c5.0,25,training,1-56,0.9730769230769232,0.9722943722943722,0.995,Random
amount_1,c5.0,25,training,1-58,0.968,0.9704761904761904,0.995,Random
amount_1,c5.0,25,training,1-59,0.996,1,0.99375,Random
amount_1,c5.0,25,training,1-61,0.953846153846154,0.9780219780219781,0.9307692307692307,Random
amount_1,c5.0,25,training,1-62,0.9807692307692308,0.9815686274509804,0.9866666666666666,Random
amount_1,c5.0,25,training,1-64,0.9961538461538462,0.9941176470588236,1,Random
amount_1,c5.0,25,training,1-65,0.976923076923077,0.9833333333333334,0.9823529411764707,Random
amount_1,c5.0,25,training,1-66,0.9884615384615386,0.9799999999999999,1,Random
amount_1,c5.0,25,training,1-67,0.9807692307692311,0.95,1,Random
amount_1,c5.0,25,training,1-68,0.9769230769230772,0.9538461538461538,1,Random
amount_1,c5.0,25,training,1-69,0.9692307692307696,0.9882352941176471,0.9625,Random
amount_1,c5.0,25,training,1-70,0.9692307692307695,0.9492307692307692,0.9916666666666667,Random
amount_1,c5.0,25,training,1-71,0.9923076923076924,0.99375,0.9933333333333333,Random
amount_1,c5.0,25,training,1-72,0.980769230769231,0.9652380952380955,1,Random
amount_1,c5.0,25,training,1-73,0.9307692307692308,0.9037362637362638,0.9692307692307692,Random
amount_1,c5.0,25,training,1-74,0.9076923076923078,0.8943833943833944,0.9,Random
amount_1,c5.0,30,testing,1-10,0.92,0.9214285714285714,0.91,Random
amount_1,c5.0,30,testing,1-11,0.89,0.9857142857142857,0.8706349206349205,Random
amount_1,c5.0,30,testing,1-13,0.9,0.9380952380952381,0.919047619047619,Random
amount_1,c5.0,30,testing,1-14,0.92,0.9447971781305115,0.9407142857142857,Random
amount_1,c5.0,30,testing,1-15,0.88,0.8873809523809524,0.8716666666666667,Random
amount_1,c5.0,30,testing,1-16,0.92,0.9404320987654321,0.9666666666666667,Random
amount_1,c5.0,30,testing,1-18,0.81,0.8912698412698412,0.8333333333333333,Random
amount_1,c5.0,30,testing,1-19,0.86,0.906547619047619,0.8764285714285714,Random
amount_1,c5.0,30,testing,1-20,0.79,0.7927380952380951,0.8597619047619047,Random
amount_1,c5.0,30,testing,1-21,0.79,0.8411507936507936,0.9103174603174603,Random
amount_1,c5.0,30,testing,1-22,0.97,1,0.9611111111111111,Random
amount_1,c5.0,30,testing,1-23,0.93,0.9282142857142857,0.9875,Random
amount_1,c5.0,30,testing,1-24,0.85,0.9428571428571428,0.8286904761904761,Random
amount_1,c5.0,30,testing,1-25,0.86,0.8823809523809523,0.8507142857142858,Random
amount_1,c5.0,30,testing,1-26,0.94,1,0.9162698412698413,Random
amount_1,c5.0,30,testing,1-29,0.86,0.825,0.9633333333333333,Random
amount_1,c5.0,30,testing,1-30,0.88,0.9312698412698412,0.9301587301587302,Random
amount_1,c5.0,30,testing,1-31,0.86,0.8634920634920635,0.9308333333333333,Random
