subject,session,date,condition,trial_num,ll_side,choice,last_choice
Paprica,2,2018-09-20,Low cost different,8,left,0,1
Paprica,3,2018-07-20,High cost,3,left,0,NA
Paprica,3,2018-07-20,High cost,4,left,0,0
Paprica,3,2018-07-20,High cost,5,right,1,0
Paprica,3,2018-07-20,High cost,6,right,0,1
Paprica,3,2018-07-20,High cost,7,right,0,0
Paprica,3,2018-07-20,High cost,8,left,0,0
Paprica,3,2018-09-10,Low cost same,3,right,0,NA
Paprica,3,2018-09-10,Low cost same,4,right,0,0
Paprica,3,2018-09-10,Low cost same,5,right,0,0
Paprica,3,2018-09-10,Low cost same,6,left,0,0
Paprica,3,2018-09-10,Low cost same,7,left,0,0
Paprica,3,2018-09-10,Low cost same,8,left,0,0
Paprica,3,2018-09-21,Low cost different,3,right,0,NA
Paprica,3,2018-09-21,Low cost different,4,right,0,0
Paprica,3,2018-09-21,Low cost different,5,right,0,0
Paprica,3,2018-09-21,Low cost different,6,left,0,0
Paprica,3,2018-09-21,Low cost different,7,left,0,0
Paprica,3,2018-09-21,Low cost different,8,left,0,0
Paprica,4,2018-07-23,High cost,3,right,0,NA
Paprica,4,2018-07-23,High cost,4,right,0,0
Paprica,4,2018-07-23,High cost,5,right,0,0
Paprica,4,2018-07-23,High cost,6,left,0,0
Paprica,4,2018-07-23,High cost,7,left,1,0
Paprica,4,2018-07-23,High cost,8,left,0,1
Paprica,4,2018-09-12,Low cost same,3,left,0,NA
Paprica,4,2018-09-12,Low cost same,4,right,0,0
Paprica,4,2018-09-12,Low cost same,5,right,0,0
Paprica,4,2018-09-12,Low cost same,6,left,0,0
Paprica,4,2018-09-12,Low cost same,7,left,0,0
Paprica,4,2018-09-12,Low cost same,8,right,0,0
Paprica,4,2018-09-24,Low cost different,3,left,0,NA
Paprica,4,2018-09-24,Low cost different,4,right,0,0
Paprica,4,2018-09-24,Low cost different,5,left,0,0
Paprica,4,2018-09-24,Low cost different,6,left,0,0
Paprica,4,2018-09-24,Low cost different,7,right,1,0
Paprica,4,2018-09-24,Low cost different,8,right,0,1
Paprica,5,2018-07-24,High cost,3,left,0,NA
Paprica,5,2018-07-24,High cost,4,left,0,0
Paprica,5,2018-07-24,High cost,5,right,0,0
Paprica,5,2018-07-24,High cost,6,left,1,0
Paprica,5,2018-07-24,High cost,7,right,1,1
Paprica,5,2018-07-24,High cost,8,right,0,1
Paprica,5,2018-09-13,Low cost same,3,right,0,NA
Paprica,5,2018-09-13,Low cost same,4,left,0,0
Paprica,5,2018-09-13,Low cost same,5,right,0,0
Paprica,5,2018-09-13,Low cost same,6,right,0,0
Paprica,5,2018-09-13,Low cost same,7,left,1,0
Paprica,5,2018-09-13,Low cost same,8,left,0,1
Paprica,5,2018-09-25,Low cost different,3,right,0,NA
Paprica,5,2018-09-25,Low cost different,4,right,0,0
Paprica,5,2018-09-25,Low cost different,5,left,0,0
Paprica,5,2018-09-25,Low cost different,6,left,0,0
Paprica,5,2018-09-25,Low cost different,7,left,0,0
Paprica,5,2018-09-25,Low cost different,8,right,0,0
Paprica,6,2018-07-25,High cost,3,right,0,NA
Paprica,6,2018-07-25,High cost,4,right,0,0
Paprica,6,2018-07-25,High cost,5,left,0,0
Paprica,6,2018-07-25,High cost,6,left,0,0
Paprica,6,2018-07-25,High cost,7,right,0,0
