data_file,algorithm,subject,predictor,importance
amount_1,glm,1-19,small,38.05941870019066
amount_1,glm,1-19,large,100
amount_1,glm,1-19,ratio,23.947792873685998
amount_1,glm,1-19,log_ratio,70.8320914958579
amount_1,glm,1-19,discrim,0
amount_1,glm,1-19,logistic,36.768357589795734
amount_1,nnet,1-19,small,100
amount_1,nnet,1-19,large,62.30425848288434
amount_1,nnet,1-19,difference,45.6701547942204
amount_1,nnet,1-19,ratio,35.806572801182796
amount_1,nnet,1-19,log_ratio,12.408615014927832
amount_1,nnet,1-19,discrim,67.99142969704852
amount_1,nnet,1-19,logistic,0
amount_1,rpart,1-20,difference,100
amount_1,rpart,1-20,discrim,100
amount_1,rpart,1-20,log_ratio,100
amount_1,rpart,1-20,logistic,100
amount_1,rpart,1-20,ratio,100
amount_1,rpart,1-20,small,0
amount_1,rpart,1-20,large,0
amount_1,c5.0,1-20,small,100
amount_1,c5.0,1-20,large,100
amount_1,c5.0,1-20,ratio,100
amount_1,c5.0,1-20,discrim,100
amount_1,c5.0,1-20,logistic,100
amount_1,c5.0,1-20,difference,93.88
amount_1,c5.0,1-20,log_ratio,0
amount_1,naive_bayes,1-20,small,0
amount_1,naive_bayes,1-20,large,39.78021978021976
amount_1,naive_bayes,1-20,difference,97.58241758241758
amount_1,naive_bayes,1-20,ratio,100
amount_1,naive_bayes,1-20,log_ratio,100
amount_1,naive_bayes,1-20,discrim,100
amount_1,naive_bayes,1-20,logistic,97.58241758241758
amount_1,knn,1-20,small,0
amount_1,knn,1-20,large,39.78021978021976
amount_1,knn,1-20,difference,97.58241758241758
amount_1,knn,1-20,ratio,100
amount_1,knn,1-20,log_ratio,100
amount_1,knn,1-20,discrim,100
amount_1,knn,1-20,logistic,97.58241758241758
amount_1,rf,1-20,small,0
amount_1,rf,1-20,large,60.99375612555392
amount_1,rf,1-20,difference,99.95310331603271
amount_1,rf,1-20,ratio,81.24895201757903
amount_1,rf,1-20,log_ratio,85.43009159207071
amount_1,rf,1-20,discrim,79.54529326830531
amount_1,rf,1-20,logistic,100
amount_1,glm,1-20,small,91.29528685283587
amount_1,glm,1-20,large,100
amount_1,glm,1-20,ratio,68.65700302231
amount_1,glm,1-20,log_ratio,8.602468568726811
amount_1,glm,1-20,discrim,70.22573923261976
amount_1,glm,1-20,logistic,0
amount_1,nnet,1-20,small,20.212467945366893
amount_1,nnet,1-20,large,43.647454620704494
amount_1,nnet,1-20,difference,48.10730581229253
amount_1,nnet,1-20,ratio,76.40091732353817
amount_1,nnet,1-20,log_ratio,22.320487376191693
amount_1,nnet,1-20,discrim,100
amount_1,nnet,1-20,logistic,0
amount_1,rpart,1-21,small,NaN
amount_1,rpart,1-21,large,NaN
amount_1,rpart,1-21,difference,NaN
amount_1,rpart,1-21,ratio,NaN
amount_1,rpart,1-21,log_ratio,NaN
amount_1,rpart,1-21,discrim,NaN
amount_1,rpart,1-21,logistic,NaN
amount_1,c5.0,1-21,logistic,100
amount_1,c5.0,1-21,small,0
amount_1,c5.0,1-21,large,0
amount_1,c5.0,1-21,difference,0
amount_1,c5.0,1-21,ratio,0
amount_1,c5.0,1-21,log_ratio,0
amount_1,c5.0,1-21,discrim,0
amount_1,naive_bayes,1-21,small,57.22891566265059
amount_1,naive_bayes,1-21,large,0
amount_1,naive_bayes,1-21,difference,45.18072289156632
amount_1,naive_bayes,1-21,ratio,100
amount_1,naive_bayes,1-21,log_ratio,100
amount_1,naive_bayes,1-21,discrim,100
amount_1,naive_bayes,1-21,logistic,53.01204819277112
amount_1,knn,1-21,small,57.22891566265059
amount_1,knn,1-21,large,0
amount_1,knn,1-21,difference,45.18072289156632
amount_1,knn,1-21,ratio,100
amount_1,knn,1-21,log_ratio,100
amount_1,knn,1-21,discrim,100
amount_1,knn,1-21,logistic,53.01204819277112
amount_1,rf,1-21,small,0
amount_1,rf,1-21,large,2.953558573214699
amount_1,rf,1-21,difference,54.39979624866035
amount_1,rf,1-21,ratio,83.68700514192449
amount_1,rf,1-21,log_ratio,89.45621352300873
amount_1,rf,1-21,discrim,100
amount_1,rf,1-21,logistic,28.0109393129927
amount_1,glm,1-21,small,79.36049760767965
amount_1,glm,1-21,large,100
amount_1,glm,1-21,ratio,67.14078701120444
amount_1,glm,1-21,log_ratio,65.50662277627742
amount_1,glm,1-21,discrim,76.32792511243835
amount_1,glm,1-21,logistic,0
amount_1,nnet,1-21,small,45.366910378289674
amount_1,nnet,1-21,large,36.480552612829534
amount_1,nnet,1-21,difference,93.05623519553859
amount_1,nnet,1-21,ratio,10.527647147945242
amount_1,nnet,1-21,log_ratio,12.632505664995344
amount_1,nnet,1-21,discrim,100
amount_1,nnet,1-21,logistic,0
amount_1,rpart,1-22,difference,62.87213644645829
amount_1,rpart,1-22,discrim,100
amount_1,rpart,1-22,log_ratio,100
amount_1,rpart,1-22,logistic,62.87213644645829
amount_1,rpart,1-22,ratio,100
amount_1,rpart,1-22,small,0
amount_1,rpart,1-22,large,0
amount_1,c5.0,1-22,difference,100
amount_1,c5.0,1-22,ratio,100
amount_1,c5.0,1-22,logistic,100
amount_1,c5.0,1-22,small,0
amount_1,c5.0,1-22,large,0
amount_1,c5.0,1-22,log_ratio,0
amount_1,c5.0,1-22,discrim,0
amount_1,naive_bayes,1-22,small,0
amount_1,naive_bayes,1-22,large,19.43319838056681
amount_1,naive_bayes,1-22,difference,86.63967611336034
amount_1,naive_bayes,1-22,ratio,100
amount_1,naive_bayes,1-22,log_ratio,100
amount_1,naive_bayes,1-22,discrim,100
amount_1,naive_bayes,1-22,logistic,86.63967611336034
amount_1,knn,1-22,small,0
amount_1,knn,1-22,large,19.43319838056681
amount_1,knn,1-22,difference,86.63967611336034
